Gender,Age,Hospital Type,Visit Type,Waiting Time,Nurse Staff Behaviour,Doctor Communication,Hospital Cleanliness,Overall Satisfaction,Return Intention,Biggest Problem,Recommendation,Treatment Quality,Waiting Area Facilities,Respect Privacy,Medicine Explanation,Charges,Occupation,Age1,Nurse Staff Behaviour Score,Hospital Cleanliness Score,Overall_satisfaction_Avergae,Waiting Time Number
Female,15-25,Private clinic,In-Patient (Admitted/Hospitalized),Less than 15 minutes,Neutral,Strongly Agree,Agree,4,3,Long lines,Yes,3,Agree,Agree,Agree,Reasonable,Student,65,3,4,3.038461538,10
Male,15-25,Government,OPD (Doctor Consultation ),Less than 15 minutes,Agree,Strongly Agree,Neutral,4,3,Long lines,Yes,4,Neutral,Strongly Agree,Agree,Reasonable,Student,65,4,3,3.038461538,10
Female,15-25,Private clinic,In-Patient (Admitted/Hospitalized),30-60 minutes,Agree,Strongly Agree,Agree,1,3,,Yes,4,Agree,Strongly Agree,Strongly Agree,Reasonable,Private Job,65,4,4,3.038461538,45
Female,15-25,Private,In-Patient (Admitted/Hospitalized),Less than 15 minutes,Strongly Agree,Agree,Strongly Agree,1,2,Short consultation,Yes,5,Strongly Agree,Strongly Agree,Agree,Expensive,Student,65,5,5,3.038461538,10
Male,15-25,Private,OPD (Doctor Consultation ),30-60 minutes,Neutral,Agree,Agree,3,3,Cost,Yes,3,Neutral,Neutral,Neutral,Reasonable,Student,65,3,4,3.038461538,45
Female,15-25,Private,Follow-up/Routine Checkup,15-30 minutes,Agree,Agree,Agree,4,3,,Yes,4,Neutral,Agree,Agree,Reasonable,Private Job,65,4,4,3.038461538,22
Male,15-25,Private clinic,OPD (Doctor Consultation ),15-30 minutes,Agree,Agree,Neutral,4,3,Long lines,Yes,3,Disagree,Agree,Agree,Reasonable,Student,65,4,3,3.038461538,22
Female,15-25,Private,Follow-up/Routine Checkup,30-60 minutes,Neutral,Neutral,Neutral,3,2,Cost,Maybe,2,Neutral,Neutral,Neutral,Very expensive,Private Job,65,3,3,3.038461538,45
Male,15-25,Private,OPD (Doctor Consultation ),Less than 15 minutes,Agree,Strongly Agree,Agree,4,3,,Yes,5,Neutral,Agree,Agree,Reasonable,Student,65,4,4,3.038461538,10
Male,15-25,Private clinic,OPD (Doctor Consultation ),Less than 15 minutes,Strongly Disagree,Agree,Disagree,5,3,,Yes,4,Strongly Disagree,Neutral,Disagree,Very expensive,Student,65,1,2,3.038461538,10
Female,15-25,Private,OPD (Doctor Consultation ),Less than 15 minutes,Disagree,Agree,Agree,4,3,Long lines,Yes,2,Neutral,Agree,Neutral,Reasonable,Student,65,2,4,3.038461538,10
Female,15-25,Private,OPD (Doctor Consultation ),Less than 15 minutes,Neutral,Agree,Disagree,3,1,Cost,No,2,Disagree,Neutral,Disagree,Expensive,Student,65,3,2,3.038461538,10
Male,15-25,Government,OPD (Doctor Consultation ),Less than 15 minutes,Strongly Disagree,Strongly Disagree,Strongly Disagree,2,3,Long lines,Yes,2,Strongly Disagree,Strongly Disagree,Neutral,Very expensive,Student,65,1,1,3.038461538,10
Female,25-35,Private clinic,OPD (Doctor Consultation ),Less than 15 minutes,Neutral,Neutral,Neutral,3,2,Short consultation,Maybe,3,Agree,Agree,Agree,Reasonable,Student,30,3,3,3.038461538,10
Female,15-25,Private,OPD (Doctor Consultation ),15-30 minutes,Agree,Agree,Agree,4,3,Short consultation,Yes,3,Neutral,Agree,Agree,Reasonable,Student,65,4,4,3.038461538,22
Male,25-35,Government,OPD (Doctor Consultation ),30-60 minutes,Neutral,Neutral,Disagree,4,1,Long lines,Yes,3,Disagree,Neutral,Neutral,Very expensive,Student,30,3,2,3.038461538,45
Male,15-25,Government,Follow-up/Routine Checkup,15-30 minutes,Neutral,Agree,Strongly Disagree,4,2,Long lines,Yes,3,Disagree,Neutral,Agree,Reasonable,Student,65,3,1,3.038461538,22
Male,25-35,Private clinic,OPD (Doctor Consultation ),30-60 minutes,Neutral,Neutral,Neutral,3,1,Long lines,No,2,Disagree,Agree,Agree,Expensive,Homemaker,30,3,3,3.038461538,45
Male,15-25,Government,Follow-up/Routine Checkup,Less than 15 minutes,Neutral,Agree,Neutral,4,3,Long lines,Yes,2,Neutral,Agree,Agree,Cheap,Student,65,3,3,3.038461538,10
Male,15-25,Government,In-Patient (Admitted/Hospitalized),15-30 minutes,Neutral,Disagree,Neutral,3,1,,Yes,3,Neutral,Neutral,Neutral,Cheap,Student,65,3,3,3.038461538,22
Male,25-35,Private,OPD (Doctor Consultation ),15-30 minutes,Neutral,Neutral,Neutral,3,2,Short consultation,Maybe,2,Neutral,Neutral,Neutral,Reasonable,Self-Employed,30,3,3,3.038461538,22
Male,15-25,Government,Follow-up/Routine Checkup,Less than 15 minutes,Agree,Agree,Neutral,4,3,Long lines,Maybe,3,Neutral,Agree,Agree,Cheap,Student,65,4,3,3.038461538,10
Male,35-45,Private,OPD (Doctor Consultation ),15-30 minutes,Strongly Agree,Strongly Agree,Strongly Agree,1,2,Cost,Yes,5,Agree,Strongly Agree,Strongly Agree,Very expensive,Private Job,65,5,5,3.038461538,22
Female,15-25,Private clinic,OPD (Doctor Consultation ),15-30 minutes,Agree,Strongly Agree,Neutral,1,3,Short consultation,Yes,4,Neutral,Strongly Agree,Agree,Reasonable,Private Job,65,4,3,3.038461538,22
Female,15-25,Government,OPD (Doctor Consultation ),30-60 minutes,Agree,Agree,Agree,4,3,,Maybe,4,Neutral,Agree,Agree,Reasonable,Private Job,65,4,4,3.038461538,45
Female,15-25,Private,Follow-up/Routine Checkup,Less than 15 minutes,Strongly Agree,Strongly Agree,Strongly Agree,4,3,Short consultation,Yes,2,Agree,Agree,Agree,Reasonable,Student,65,5,5,3.038461538,10
Male,15-25,Private,In-Patient (Admitted/Hospitalized),30-60 minutes,Agree,Agree,Agree,1,2,,Yes,5,Neutral,Agree,Agree,Reasonable,Student,65,4,4,3.038461538,45
Female,15-25,Private,Follow-up/Routine Checkup,More than 1 hour,Neutral,Neutral,Neutral,3,2,,Maybe,3,Neutral,Neutral,Neutral,Reasonable,Student,65,3,3,3.038461538,75
Female,15-25,Private,OPD (Doctor Consultation ),15-30 minutes,Strongly Agree,Strongly Agree,Strongly Agree,1,3,Cost,Yes,5,Strongly Agree,Strongly Agree,Strongly Agree,Reasonable,Student,65,5,5,3.038461538,22
Male,15-25,Government,Emergency,15-30 minutes,Neutral,Neutral,Neutral,3,2,,Yes,3,Neutral,Neutral,Neutral,Cheap,Student,65,3,3,3.038461538,22
Male,15-25,Private,OPD (Doctor Consultation ),15-30 minutes,Neutral,Neutral,Disagree,4,3,Short consultation,Yes,2,Disagree,Strongly Disagree,Neutral,Reasonable,Student,65,3,2,3.038461538,22
Female,15-25,Government,OPD (Doctor Consultation ),30-60 minutes,Neutral,Agree,Neutral,3,2,Long lines,Maybe,3,Disagree,Neutral,Neutral,Reasonable,Student,65,3,3,3.038461538,45
Male,15-25,Government,Emergency,Less than 15 minutes,Neutral,Agree,Disagree,2,3,,Maybe,2,Disagree,Agree,Neutral,Reasonable,Student,65,3,2,3.038461538,10
Male,15-25,Private,OPD (Doctor Consultation ),15-30 minutes,Neutral,Strongly Agree,Agree,1,3,Long lines,Yes,5,Agree,Strongly Agree,Strongly Agree,Expensive,Business,65,3,4,3.038461538,22
Male,15-25,Private,OPD (Doctor Consultation ),30-60 minutes,Agree,Neutral,Neutral,2,2,Rude staff behavior,Maybe,2,Disagree,Disagree,Neutral,Reasonable,Student,65,4,3,3.038461538,45
Male,15-25,Private clinic,OPD (Doctor Consultation ),Less than 15 minutes,Neutral,Neutral,Agree,3,3,Rude staff behavior,Yes,3,Neutral,Neutral,Agree,Reasonable,Student,65,3,4,3.038461538,10
Male,15-25,Private,Follow-up/Routine Checkup,15-30 minutes,Agree,Agree,Neutral,4,3,Long lines,Yes,3,Neutral,Neutral,Agree,Expensive,Student,65,4,3,3.038461538,22
Male,15-25,Government,OPD (Doctor Consultation ),30-60 minutes,Disagree,Neutral,Strongly Disagree,4,2,Long lines,Maybe,3,Disagree,Disagree,Agree,Reasonable,Student,65,2,1,3.038461538,45
Male,15-25,Government,Emergency,15-30 minutes,Neutral,Agree,Neutral,4,2,Long lines,Maybe,3,Neutral,Agree,Agree,Expensive,Student,65,3,3,3.038461538,22
Male,15-25,Private,OPD (Doctor Consultation ),Less than 15 minutes,Disagree,Agree,Neutral,4,2,Cost,Maybe,3,Disagree,Agree,Agree,Expensive,Student,65,2,3,3.038461538,10
Male,15-25,Private,OPD (Doctor Consultation ),More than 1 hour,Neutral,Strongly Disagree,Agree,3,1,Rude staff behavior,No,2,Disagree,Neutral,Disagree,Reasonable,Student,65,3,4,3.038461538,75
Female,15-25,Private,OPD (Doctor Consultation ),15-30 minutes,Neutral,Agree,Disagree,4,2,Cost,Yes,3,Neutral,Agree,Agree,Expensive,Student,65,3,2,3.038461538,22
Female,15-25,Private,Follow-up/Routine Checkup,30-60 minutes,Agree,Strongly Agree,Disagree,1,2,Short consultation,Yes,5,Neutral,Strongly Agree,Strongly Agree,Expensive,Student,65,4,2,3.038461538,45
Female,15-25,Private,OPD (Doctor Consultation ),15-30 minutes,Agree,Strongly Agree,Strongly Agree,1,3,Cost,Yes,5,Neutral,Agree,Agree,Expensive,Student,65,4,5,3.038461538,22
